	CM.82_WGS	CM.79_WGS	CM.67_WGS	CM.580_WGS	CM.574_WGS	CM.555_WGS	CM.553_WGS	CM.536_WGS	CM.532_WGS	CM.530_WGS	CM.528_WGS	CM.525_WGS	CM.520_WGS	CM.514_WGS	CM.512_WGS	CM.511_WGS	CM.490_WGS	CM.486_WGS	CM.47_WGS	CM.466_WGS	CM.454_WGS	CM.445_WGS	CM.443_WGS	CM.439_WGS	CM.438_WGS	CM.437_WGS	CM.432_WGS	CM.425_WGS	CM.418_WGS	CM.413_WGS	CM.412_WGS	CM.409_WGS	CM.408_WGS	CM.403_WGS	CM.402_WGS	CM.397_WGS	CM.395_WGS	CM.392_WGS	CM.389_WGS	CM.382_WGS	CM.378_WGS	CM.376_WGS	CM.375_WGS	CM.373_WGS	CM.370_WGS	CM.369_WGS	CM.367_WGS	CM.366_WGS	CM.364_WGS	CM.361_WGS	CM.358_WGS	CM.347_WGS	CM.345_WGS	CM.343_WGS	CM.342_WGS	CM.340_WGS	CM.339_WGS	CM.335_WGS	CM.328_WGS	CM.317_WGS	CM.316_WGS	CM.310_WGS	CM.308_WGS	CM.294_WGS	CM.291_WGS	CM.29_WGS	CM.289_WGS	CM.285_WGS	CM.284_WGS	CM.283_WGS	CM.278_WGS	CM.275_WGS	CM.24_WGS	CM.228_WGS	CM.208_WGS	CM.206_WGS	CM.199_WGS	CM.178_WGS	CM.177_WGS	CM.164_WGS	CM.162_WGS	CM.16_WGS	CM.152_WGS	CM.147_WGS	CM.146_WGS	CM.129_WGS
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_plebeius	0	0	0	0	0	2.89272	0	0	0	0	8.64495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24696	0	0	0	0	0	0	0	0	0	0.91715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_salyersiae	0	0	0	0	0	0	0.17924	0	0	0	1.87072	0	0	0	0	0	0	0	0	0	0	0	0.01457	0	0	0	0.41065	0	0	1.21367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09342	0	0	0	0	1.11867	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_CAG_530	0.58449	0.57546	0.3197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06098	0.33357	0	0	0.19875	0	0	0	0	0	0	0.17845	0	0	0	0	0	0.18037	7.03599	5.20406	0	0	0	0	2.8949	1.52384	6.49933	0	0.76934	0	0	0	1.4503	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67225	0.26247	0.34716	0	0	0.07537	0	0.44997	0	5.95572	0.14809	1.57544	0	0.09203	1.43373	0	0	0.61813	0.10042	0	0.27879	0.28929	0.8834
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_CAG_598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_OM08_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03965	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0.18405	2.25718	0	0	0	0.34885	0	2.96627	0	0	0	0	0	0	0	0	0.04473	0.04187	0	0	0	0	0.1486	0	0	0	0	0	0	0	0	0	0	0.91067	0	0	0	0	1.09988	0	0	0	0.03443	0	0	0	0	0	0.32068	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29955	0	0	0	0	0	0	0	0	0	0	0	0	0.06234	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0.85272	0.31851	0.14617	0.46039	0.00143	0.04576	3.84475	0.91305	0.44513	0.72631	0	0.02566	1.92831	0.02943	0	0	0.08839	4.33505	0.03347	0.32711	0.01794	0.89524	0	0.04898	0	0	0.60209	0.46397	0.68131	0.00097	0	0	0	0	1.62547	0	0	0	0	0.2129	0	0.00971	0.72212	0.14935	0	0.64044	0	1.40132	0.99361	0.10479	0	1.81412	0	0.10193	13.66838	0.09113	1.21664	21.38221	0.06715	0.96175	0	0	5.52819	0.48467	0	0	0	0	0.81148	0.87835	0	0	0	5.92971	0	0.00611	0.13217	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis	0	0	0	2.75318	1.01829	4.77663	0.19559	0.05706	0.00448	25.28832	17.99403	11.24315	9.68081	0.08266	0.09212	8.49538	0.37395	0	0	5.07394	0.43536	0.13712	1.08748	0.10386	8.2388	0	0.34366	0	0	5.13257	1.32862	4.73259	0.09806	0	0	8.59663	0.43083	15.6664	0	0.00199	0	0.08005	1.68877	0	0.26638	0.66129	0.0731	0	3.92756	0	0.51501	1.1804	0.0768	0	4.76586	0.14057	0.54552	7.61081	0.88519	1.33178	0.00818	7.85776	5.00804	0	0.02423	0.59365	1.34338	0	0	0.00466	0	0.73935	1.92817	0.03651	0	0	1.05581	0	0.20387	1.56335	0.00262	0	0.0933	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	11.29741	2.682	3.18138	0	0	0	2.39746	23.70633	2.4652	3.16252	0	0.27693	18.61498	0.78483	0.41903	0.093	15.45476	2.11529	0	0.03947	0	8.60866	0	1.14551	0	0	2.30695	11.55556	0	0.36822	0	0.11345	0.1729	0	0	0	0	0	0.68525	1.5054	0.01651	0.13461	0	0.02501	0.04962	6.4293	0	0.74534	1.12982	0	0	37.52814	0.22136	0	13.8619	0.39482	0	31.15338	16.21069	1.60741	0	0	0.77507	0.6148	0	0	0	0	5.18779	0.17098	0.05458	0.08828	0.02395	2.94766	0	0.3653	1.81748	4.04198	0	0.988	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0.47904	0.11562	0.33265	1.31382	0	0	2.53912	2.55321	0.01659	0	0	0	0	0	0	0	0.68798	0.01795	0	0.05114	0	4.3082	0	0	0	0	0.02513	0.0032	0.23242	0.01451	0	0	0	0	1.72807	0	0	0	0	0	0	0.03281	0.09935	0.0063	0	0.35414	0	0.0673	0	0.00382	0	0.54485	0	0	0.05753	0.00112	0	0	1.28429	5.01619	0	0	0.06565	0.01098	0	0	0.00445	0	0	1.24797	0	0	0	0.11181	0	0.06722	0.05012	0	0	0.1313	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella.s__Barnesiella_intestinihominis	0	0	0	0	0.06759	4.16624	1.23461	0	0	0	0	0.93971	0	0	0	0	0	0	0	2.18173	0	0	0	0	0	0	0.10266	0	0	0	0	0	0	0	0	0.3288	0	3.09554	0	0	0	0	0	0	0.30364	0.0287	0	0	0	0	0.0021	6.00575	0.62129	0	0	0.00094	0	0.54488	0.39778	0.47206	0	0	0.06535	0	0	0	0	0.17445	0	0	0	0	0	0	0	0	1.22825	0	0.00123	1.42311	0	0	0.00614	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter.s__Coprobacter_fastidiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter.s__Coprobacter_secundus	0	0	0	0	0	0.00339	0	0	0	0	0.0191	0	0	0	0	0	0	0	0	0.01857	0.19046	0	0	0	0.03475	0	0	0	0	0	0	0	0	0	0	0	0	0.02249	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0.00508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_virosa	0	0	0	0.27594	0.00511	1.54722	0.28398	0	0.06053	0	0.57909	0	0.06615	0	0	0	0.15198	0	0	0.09068	0.10804	0	0	0	0.73392	0	0	0	0	0	0.09137	0	0	0	0	0	0	0	0	0.01956	0	0	0.0356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00196	0	0.37892	0	0	0	0	0	1.91803	0.07233	0	0	0	0	0	0	0	0	0	0.68782	0	0.00945	0.1008	0	0	0.18369	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus	0	0	0.0309	0.69446	0.7412	3.56616	0.83785	0.03688	0.07849	2.57046	1.31676	0.44807	0.35048	0	0.2694	3.08048	0.33622	0	0	0.8692	1.4046	0	0.62532	1.00092	0	0	0.07553	0	0	0.56571	0.36206	0.5761	0	0	0.15273	1.28014	0.76712	1.35734	0	0	0	0.36357	0.50416	0	0.31427	0.56803	0.00656	0.07179	0	0	0	1.52074	0.16994	0	0.71436	0.56385	0.02556	0.32393	0.0552	0.56924	0	0.32939	3.44508	0.33753	0	8.36736	1.05644	0.12468	0	0.04083	0	0.25889	0.10823	0	0	0	2.35441	0	0	0.7342	0.00163	0	1.21907	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__Porphyromonas_asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__Porphyromonas_endodontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__Porphyromonas_sp_HMSC065F10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00815	0	0	0.02594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Sanguibacteroides.s__Sanguibacteroides_justesenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_clara	0	0	0	0	0	0.03245	0	0	0	0.392	0.15303	0	0	0	0	0	0	0	0	0.08768	0.57452	0	0.02237	0	0	0	0.01951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02495	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_xylaniphila	0	0	0	0	0.01095	0.49269	0	0	0.0288	7.68952	1.46862	0	0	0	0	0	0.00643	0	0	0.47501	1.14942	0	0.2988	0	15.97071	0	0.04425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6292	0.03148	0	0	0	0.00943	0	0.50177	0	0	0.35458	0	0	0	0	0	0	0	0	0	1.76232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05551	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_bivia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_buccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42124	0	0	0	0	0	10.56533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02435	0	0	0	0	0	0	0	0	0	0	0	0	0.01975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_copri	6.736	1.38383	44.80973	0	43.554	18.51692	21.0431	87.3596	56.19098	0	0	0	0	3.90546	0.0969	0	66.39334	48.0212	56.41743	34.57871	12.01312	72.58467	51.13683	23.10604	0	85.99833	37.68477	9.9438	45.93488	56.12516	53.56426	55.84208	49.34194	61.27763	70.36409	8.15731	16.0923	0	74.96403	35.90887	37.5518	26.22659	4.66677	30.33792	43.87334	21.83532	72.18418	40.99459	11.78197	13.3446	20.4075	46.30992	70.85538	8.49765	0	50.82794	52.40304	0	68.86871	61.11678	0	0	0	36.28464	15.01799	0	25.30506	71.73599	51.18536	42.14538	18.57085	29.0116	21.20934	68.54743	12.59485	11.64111	12.33758	7.82332	71.80571	64.48711	11.94822	10.41795	2.32958	59.7729	63.59714	13.37208
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_corporis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00601	0	0	0	0	0	0	0	0.17994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_disiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_885	0.17607	0.64212	6.47464	0	0	0	0	0	0	0	0	0	0	0.80284	0	0	0	2.07675	2.74319	0	0	0.14494	0	0	0	0	0	0	7.83475	0	0	0	12.19247	0	6.87025	0	7.29144	0	16.40435	0	16.97068	16.87988	0	21.28152	0	0	6.30995	0	0	0	0	0	0	5.66712	0	10.93213	5.41065	0	0	0	0	0	0	13.70314	0.29338	3.35974	0	0	0.90754	18.47902	3.14168	0	11.0057	1.14191	0	0.75893	0	11.55305	3.97449	0	4.41746	3.57597	0	8.74632	2.3358	5.2853
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_AM42_24	1.38684	4.16911	6.43738	0	0	0	2.52238	0	1.55628	0	0	0	0	0.54465	0	0	0	0.84369	1.1808	0	9.07622	0.1173	0.52399	3.57266	0	0.02627	0	0.082	7.63314	0	0	0	0	3.06274	0.02006	3.75913	0	0	2.11709	0.73896	2.01482	0	0.13549	9.60176	6.00272	1.6276	5.19643	5.47688	0.00277	5.69469	0.20243	0	0	0	0	0	6.25874	0	0	0	0	0	0	2.84882	0.61208	0	0	0	1.81364	6.47136	2.05959	0	2.35002	1.14836	26.14173	0.57085	0.89607	10.66028	0	0	2.14574	0.67647	0.41348	0.31906	1.35487	0.83038
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_CAG_1092	0	0.38524	1.75786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62715	0	0	2.22041	0	0.0596	0	0.0935	0	0.0258	1.07099	0	0	0	0.79544	2.50715	0	1.4772	2.2762	0	0	0	1.79686	0	0	0	0	0	0	0	0	1.64937	0	0	0.48089	0	0	0	4.29076	0	0	0	0	0	0	0.24475	0.24999	0	0	0	0	0	0.55198	0	0	1.07057	0.98958	0.62954	0	2.39154	0.65625	0	0	2.94783	0	2.85184	0.93962	2.05135
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_CAG_279	0	0	1.75033	0	0.48666	0	1.88386	0	0.23255	0	0	0	7.88242	0.37436	1.55975	0	2.97828	0.85266	0	1.41816	3.93182	0.04963	0	0	0	0.40592	0	1.14299	0.03044	0.37043	0	0	1.2411	0.76028	1.19384	0.63437	5.18321	0	0.45689	0.59811	0.37353	3.51067	2.5755	0	5.03525	0	0.82332	0.57065	13.19733	0	0	0	0	0	0	0	1.19519	0	0	0	0	0	0	1.81194	1.37439	0	0.73078	0	0.25953	3.52569	1.48018	4.76596	5.6487	0.3692	0.69984	0.49682	0	1.13267	0.90137	0	0.59098	0	1.25174	0.14289	0.06788	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_CAG_485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_CAG_520	0.12222	3.94025	7.50225	0	0	0	0	0	16.2958	0	0	0	0	0	0.75993	0	0	7.68683	0.00453	0	0	0.00174	19.50536	40.48133	0	1.19101	0	0	1.97931	0	7.08878	0	0	3.20442	0	0	0.00323	0	0	0.2057	6.79518	10.85221	0	11.98019	0	15.20585	0	0	0.00417	8.12514	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00243	1.76746	0	0	2.55105	0.02043	0	3.06294	0	0	0.0805	11.61504	5.38524	0	0.17968	0	0	0	1.0732	5.07579	1.02434	0.03783	0.78093
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_CAG_5226	0.64297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07739	0	0	0	0	0	0	0.52457	0.34159	0	0.80995	0	0	0	0.04176	2.06418	1.14196	0	0.32026	0	0	0	0	0	4.22818	0	3.30507	0	5.83714	0	0.13918	0	0	0	0	0.43927	0	0.86062	8.86668	0	0	0	0	0	0	9.51476	1.55045	0	0	0	0	7.02506	3.36811	9.49749	9.75305	0	0	0	14.24576	0	0	0	2.04872	0.38709	0	4.01385	5.60398	0.18121
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_CAG_873	32.5337	0	0	0	0	0	0	0	0.1951	0	0	0	0	0	0	0	0	0	0.12293	0	0	0	0	0	0	0	0	0	0.01921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57379	0	0	0	22.89579
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_CAG_891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_stercorea	3.56481	0.1902	0.74827	26.88571	0.24002	0	0	0	4.98267	0	0	0	0	9.01293	0.0493	0	6.43323	1.4526	2.74342	0	0	0.26348	1.34747	2.73781	0	0.26271	0	0.1013	1.73123	0	0.60968	9.32343	0	0.23941	0	0.5377	10.79112	0	1.1003	30.21864	0.36128	0.77187	32.40407	0.84626	0	0.83911	0	5.73535	5.48027	15.2293	0	0	0	0.16978	0	0	10.55884	0	0	0	0	0	55.73419	4.77128	0.9294	0	0	0.17451	2.35249	2.29943	1.83734	3.18963	0	6.5207	14.66485	0.94418	12.19912	8.76548	1.96593	0	0	1.78571	0.36601	7.91569	5.51677	0.11729
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_timonensis	0	0	0	0	0.03751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20217	0	0	0.10419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0.18145	6.99472	0.0141	0.02651	0	0	0.17738	0	0	0	0	0.38253	0	0	0	0.10875	0	0	0.00744	0	0	0	0	0	0	0	0	0	0	0	0	0.06092	0	1.32361	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37571	0	0	0	0	0	0.00447	0	0.28765	0	0.04433	0	0	0	0	0.17654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_indistinctus	0	0	0	0.1043	0	2.05933	0	0	0	0.02645	0	0.01448	0	0	0	0.32401	0	0	0	0.3784	0	0	0.07872	0	0	0	0.0167	0	0	0	0	0	0	0	0	0.11483	0	0	0	0	0	0	0.05773	0	0	0	0	0	0	0	0	0	0	0	0.01086	0	0	0.01208	0.00259	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01339	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_inops	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7761	0	0	0	0.02058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
